file,sweep,rpm,temperature_c,kappa,viscosity_40c_cst,viscosity_100c_cst
scope_20260424_115654,sweep_1152,2841.2,50.0,1.1023,22.0,4.1
scope_20260424_115654,sweep_1153,2840.9,50.0,1.1022,22.0,4.1
scope_20260424_115654,sweep_1154,2840.8,50.0,1.1022,22.0,4.1
scope_20260424_115654,sweep_1155,2647.5,50.0,1.0641,22.0,4.1
scope_20260424_115654,sweep_1156,2647.5,50.0,1.0641,22.0,4.1
scope_20260424_115654,sweep_1157,2647.6,50.0,1.0641,22.0,4.1
scope_20260424_115654,sweep_1158,2647.5,50.0,1.0641,22.0,4.1
scope_20260424_115654,sweep_1159,2647.6,50.0,1.0641,22.0,4.1
scope_20260424_115654,sweep_116,859.3,41.0,0.7889,22.0,4.1
scope_20260424_115654,sweep_1160,2647.4,50.0,1.064,22.0,4.1
scope_20260424_115654,sweep_1161,2647.5,50.0,1.0641,22.0,4.1
scope_20260424_115654,sweep_1162,2647.5,50.0,1.0641,22.0,4.1
scope_20260424_115654,sweep_1163,2647.5,49.0,1.1023,22.0,4.1
scope_20260424_115654,sweep_1164,2647.5,49.0,1.1023,22.0,4.1
scope_20260424_115654,sweep_1165,2469.0,49.0,1.0645,22.0,4.1
scope_20260424_115654,sweep_1166,2459.1,49.0,1.0624,22.0,4.1
scope_20260424_115654,sweep_1167,2459.1,49.0,1.0624,22.0,4.1
scope_20260424_115654,sweep_1168,2459.1,49.0,1.0624,22.0,4.1
scope_20260424_115654,sweep_1169,2459.1,49.0,1.0624,22.0,4.1
scope_20260424_115654,sweep_117,849.9,41.0,0.7818,22.0,4.1
scope_20260424_115654,sweep_1170,2459.1,49.0,1.0624,22.0,4.1
scope_20260424_115654,sweep_1171,2459.3,49.0,1.0624,22.0,4.1
scope_20260424_115654,sweep_1172,2459.1,48.0,1.1011,22.0,4.1
scope_20260424_115654,sweep_1173,2459.3,48.0,1.1012,22.0,4.1
scope_20260424_115654,sweep_1174,2459.1,48.0,1.1011,22.0,4.1
scope_20260424_115654,sweep_1175,2459.2,48.0,1.1012,22.0,4.1
scope_20260424_115654,sweep_1176,2270.6,48.0,1.0581,22.0,4.1
scope_20260424_115654,sweep_1177,2279.0,48.0,1.0601,22.0,4.1
scope_20260424_115654,sweep_1178,2279.0,48.0,1.0601,22.0,4.1
scope_20260424_115654,sweep_1179,2270.7,48.0,1.0581,22.0,4.1
scope_20260424_115654,sweep_118,839.7,41.0,0.7739,22.0,4.1
scope_20260424_115654,sweep_1180,2278.9,48.0,1.06,22.0,4.1
scope_20260424_115654,sweep_1181,2270.6,47.0,1.0972,22.0,4.1
scope_20260424_115654,sweep_1182,2278.8,47.0,1.0992,22.0,4.1
scope_20260424_115654,sweep_1183,2270.7,47.0,1.0972,22.0,4.1
scope_20260424_115654,sweep_1184,2270.8,47.0,1.0973,22.0,4.1
scope_20260424_115654,sweep_1185,2270.8,47.0,1.0973,22.0,4.1
scope_20260424_115654,sweep_1186,2087.6,47.0,1.0521,22.0,4.1
scope_20260424_115654,sweep_1187,2087.8,47.0,1.0521,22.0,4.1
scope_20260424_115654,sweep_1188,2087.8,47.0,1.0521,22.0,4.1
scope_20260424_115654,sweep_1189,2081.0,46.0,1.0898,22.0,4.1
scope_20260424_115654,sweep_119,834.0,41.0,0.7696,22.0,4.1
scope_20260424_115654,sweep_1190,2080.9,46.0,1.0898,22.0,4.1
scope_20260424_115654,sweep_1191,2080.9,46.0,1.0898,22.0,4.1
scope_20260424_115654,sweep_1192,2087.9,46.0,1.0916,22.0,4.1
scope_20260424_115654,sweep_1193,2080.8,46.0,1.0898,22.0,4.1
scope_20260424_115654,sweep_1194,2087.8,46.0,1.0916,22.0,4.1
scope_20260424_115654,sweep_1195,2087.8,46.0,1.0916,22.0,4.1
scope_20260424_115654,sweep_1196,1874.1,46.0,1.0342,22.0,4.1
scope_20260424_115654,sweep_1197,1896.9,46.0,1.0405,22.0,4.1
scope_20260424_115654,sweep_1198,1896.9,46.0,1.0405,22.0,4.1
scope_20260424_115654,sweep_1199,1896.8,45.0,1.0801,22.0,4.1
scope_20260424_115654,sweep_120,828.5,41.0,0.7653,22.0,4.1
scope_20260424_115654,sweep_1200,1896.9,45.0,1.0801,22.0,4.1
scope_20260424_115654,sweep_1201,1897.0,45.0,1.0801,22.0,4.1
scope_20260424_115654,sweep_1202,1896.9,45.0,1.0801,22.0,4.1
scope_20260424_115654,sweep_1203,1896.8,45.0,1.0801,22.0,4.1
scope_20260424_115654,sweep_1204,1896.8,45.0,1.0801,22.0,4.1
scope_20260424_115654,sweep_1205,1896.9,45.0,1.0801,22.0,4.1
scope_20260424_115654,sweep_1206,1896.8,45.0,1.0801,22.0,4.1
scope_20260424_115654,sweep_1207,1714.0,45.0,1.0267,22.0,4.1
scope_20260424_115654,sweep_1208,1709.3,45.0,1.0253,22.0,4.1
scope_20260424_115654,sweep_1209,1713.8,45.0,1.0267,22.0,4.1
scope_20260424_115654,sweep_121,820.8,41.0,0.7594,22.0,4.1
scope_20260424_115654,sweep_1210,1709.5,45.0,1.0254,22.0,4.1
scope_20260424_115654,sweep_1211,1713.9,45.0,1.0267,22.0,4.1
scope_20260424_115654,sweep_1212,1709.2,45.0,1.0253,22.0,4.1
scope_20260424_115654,sweep_1213,1714.0,45.0,1.0267,22.0,4.1
scope_20260424_115654,sweep_1214,1709.3,45.0,1.0253,22.0,4.1
scope_20260424_115654,sweep_1215,1709.5,45.0,1.0254,22.0,4.1
scope_20260424_115654,sweep_1216,1709.3,46.0,0.9877,22.0,4.1
scope_20260424_115654,sweep_1217,1499.2,46.0,0.925,22.0,4.1
scope_20260424_115654,sweep_1218,1521.4,46.0,0.9319,22.0,4.1
scope_20260424_115654,sweep_1219,1521.3,46.0,0.9318,22.0,4.1
scope_20260424_115654,sweep_122,1025.0,41.0,0.9269,22.0,4.1
scope_20260424_115654,sweep_1220,1521.2,47.0,0.8981,22.0,4.1
scope_20260424_115654,sweep_1221,1524.9,47.0,0.8992,22.0,4.1
scope_20260424_115654,sweep_1222,1521.3,48.0,0.8661,22.0,4.1
scope_20260424_115654,sweep_1223,1524.9,48.0,0.8671,22.0,4.1
scope_20260424_115654,sweep_1224,1521.4,48.0,0.8661,22.0,4.1
scope_20260424_115654,sweep_1225,1521.2,49.0,0.8356,22.0,4.1
scope_20260424_115654,sweep_1226,1521.3,49.0,0.8356,22.0,4.1
scope_20260424_115654,sweep_1227,1521.3,49.0,0.8356,22.0,4.1
scope_20260424_115654,sweep_1228,1312.5,49.0,0.7761,22.0,4.1
scope_20260424_115654,sweep_1229,1332.2,50.0,0.7548,22.0,4.1
scope_20260424_115654,sweep_123,990.6,41.0,0.8878,22.0,4.1
scope_20260424_115654,sweep_1230,1335.0,50.0,0.7556,22.0,4.1
scope_20260424_115654,sweep_1231,1332.2,50.0,0.7548,22.0,4.1
scope_20260424_115654,sweep_1232,1335.0,50.0,0.7556,22.0,4.1
scope_20260424_115654,sweep_1233,1332.4,50.0,0.7549,22.0,4.1
scope_20260424_115654,sweep_1234,1335.0,50.0,0.7556,22.0,4.1
scope_20260424_115654,sweep_1235,1332.4,50.0,0.7549,22.0,4.1
scope_20260424_115654,sweep_1236,1332.3,50.0,0.7548,22.0,4.1
scope_20260424_115654,sweep_1237,1335.1,50.0,0.7556,22.0,4.1
scope_20260424_115654,sweep_1238,1335.1,50.0,0.7556,22.0,4.1
scope_20260424_115654,sweep_1239,1148.0,50.0,0.7007,22.0,4.1
scope_20260424_115654,sweep_124,982.9,41.0,0.882,22.0,4.1
scope_20260424_115654,sweep_1240,1141.7,50.0,0.6988,22.0,4.1
scope_20260424_115654,sweep_1241,1141.7,50.0,0.6987,22.0,4.1
scope_20260424_115654,sweep_1242,1143.6,50.0,0.6993,22.0,4.1
scope_20260424_115654,sweep_1243,1143.7,50.0,0.6994,22.0,4.1
scope_20260424_115654,sweep_1244,1143.7,50.0,0.6994,22.0,4.1
scope_20260424_115654,sweep_1245,1143.7,50.0,0.6994,22.0,4.1
scope_20260424_115654,sweep_1246,1143.7,50.0,0.6994,22.0,4.1
scope_20260424_115654,sweep_1247,1145.8,50.0,0.7,22.0,4.1
scope_20260424_115654,sweep_1248,1145.7,50.0,0.7,22.0,4.1
scope_20260424_115654,sweep_1249,1143.7,50.0,0.6994,22.0,4.1
scope_20260424_115654,sweep_125,970.7,41.0,0.8729,22.0,4.1
scope_20260424_115654,sweep_1250,958.6,50.0,0.6171,22.0,4.1
scope_20260424_115654,sweep_1251,955.7,50.0,0.6155,22.0,4.1
scope_20260424_115654,sweep_1252,957.0,50.0,0.6162,22.0,4.1
scope_20260424_115654,sweep_1253,955.7,49.0,0.6376,22.0,4.1
scope_20260424_115654,sweep_1254,955.7,49.0,0.6376,22.0,4.1
scope_20260424_115654,sweep_1255,957.1,49.0,0.6384,22.0,4.1
scope_20260424_115654,sweep_1256,955.7,49.0,0.6376,22.0,4.1
scope_20260424_115654,sweep_1257,955.8,49.0,0.6376,22.0,4.1
scope_20260424_115654,sweep_1258,955.7,49.0,0.6376,22.0,4.1
scope_20260424_115654,sweep_1259,955.7,49.0,0.6376,22.0,4.1
scope_20260424_115654,sweep_126,960.1,40.0,0.9003,22.0,4.1
scope_20260424_115654,sweep_1260,745.1,49.0,0.5186,22.0,4.1
scope_20260424_115654,sweep_1261,770.0,49.0,0.533,22.0,4.1
scope_20260424_115654,sweep_1262,772.8,48.0,0.5541,22.0,4.1
scope_20260424_115654,sweep_1263,774.8,48.0,0.5552,22.0,4.1
scope_20260424_115654,sweep_1264,774.9,48.0,0.5553,22.0,4.1
scope_20260424_115654,sweep_1265,775.7,48.0,0.5558,22.0,4.1
scope_20260424_115654,sweep_1266,777.7,48.0,0.557,22.0,4.1
scope_20260424_115654,sweep_1267,778.7,48.0,0.5576,22.0,4.1
scope_20260424_115654,sweep_1268,781.6,48.0,0.5593,22.0,4.1
scope_20260424_115654,sweep_1269,780.6,48.0,0.5587,22.0,4.1
scope_20260424_115654,sweep_127,954.2,40.0,0.8958,22.0,4.1
scope_20260424_115654,sweep_1270,783.6,48.0,0.5605,22.0,4.1
scope_20260424_115654,sweep_1271,598.2,48.0,0.448,22.0,4.1
scope_20260424_115654,sweep_1272,604.0,47.0,0.4683,22.0,4.1
scope_20260424_115654,sweep_1273,607.6,47.0,0.4706,22.0,4.1
scope_20260424_115654,sweep_1274,613.0,47.0,0.474,22.0,4.1
